Service_Category,Service_Type,Location_Name,Description,Website,Service_Phone,Location_Address_1,Location_Suburb,Location_State,Location_Postcode,Latitude,Longitude
Advocacy Services,Local Advocacy Services,Tenants Queensland Inc,Tenants Queensland offers a free community based a,http://tenantsqld.org.au/,1300 744 263,255 Example Street,,,,-27.461,153.024
Advocacy Services,Local Advocacy Services,The North Brisbane  Child Protection & Investigation Unit Boondall,The Brisbane Central District Child Protection & I,,(07) 3364 3391,256 Example Street,BOONDALL,QLD,4034,-27.349,153.053
Advocacy Services,Local Advocacy Services,Women's Legal Service Advice Line,Women's Legal Service phone line dedicated to wome,http://www.wlsq.org.au/,1800 457 117,257 Example Street,ANNERLEY,QLD,4103,-27.508,153.033
Advocacy Services,National & International Advocacy Services,Amnesty International Australia - Brisbane,Amnesty International is a worldwide movement of p,http://www.amnesty.org.au,(07) 3136 6400,258 Example Street,FORTITUDE VALLEY,QLD,4006,-27.458,153.035
Advocacy Services,National & International Advocacy Services,RS&L South East Districs,ASAC Australia - providing FREE assistance in rela,http://www.asacaustralia.com,(07) 3358 6522,259 Example Street,NEW FARM,QLD,4005,-27.473,153.05
Child Services,Child Protection Services,Advocates For Survivors Of Child Abuse,We provide services in the Toowoomba Regional Coun,http://www.blueknot.org.au/,(07) 3824 6670,260 Example Street,BRISBANE,QLD,4000,-27.471,153.023
Child Services,Child Protection Services,Alderley Child Safety Service Centre,Child safety service centres provide support and a,,(07) 3247 7888,261 Example Street,ALDERLEY,QLD,4051,-27.425,153.001
Child Services,Child Protection Services,Brisbane Central District Child Protection & Investigation Unit,The Brisbane Central District Child Protection & I,,(07) 3258 2533,262 Example Street,BRISBANE CITY,QLD,4000,-27.471,153.025
Child Services,Child Protection Services,Brisbane Region Child Safety,Child safety service centres provide support and a,https://www.communities.qld.gov.au,(07) 3895 3044,263 Example Street,SOUTH BRISBANE,QLD,4101,-27.478,153.014
Child Services,Child Protection Services,Brisbane West District Child Protection and Investigation Unit,The Brisbane Central District Child Protection & I,,(07) 3872 1577,264 Example Street,FERNY GROVE,QLD,4055,-27.406,152.94
Child Services,Child Protection Services,Carinity Communities - Talera,"Our counselling service at Greenslopes, Brisbane, ",http://www.carinity.org.au,(07) 3397 7287,265 Example Street,,,,-27.514,153.053
Child Services,Child Protection Services,Chermside Child Safety Service Centre,Child safety service centres provide support and a,,(07) 3513 3700,266 Example Street,CHERMSIDE,QLD,4032,-27.381,153.03
Child Services,Child Protection Services,Child Aware,The Child Aware Counselling Service consists of Ps,http://www.childaware.com.au,1300 914 318,267 Example Street,CARINA,QLD,4152,-27.491,153.04
Child Services,Child Protection Services,Child Protection & Investigation Unit - Oxley District,The Brisbane Central District Child Protection & I,,(07) 3737 5558,268 Example Street,INALA,QLD,4077,-27.595,152.971
Child Services,Child Protection Services,Child Safety Services Enquiries Unit,Child safety service centres provide support and a,http://www.communities.qld.gov.au/childsafety/,(07) 3224 8045,269 Example Street,BRISBANE,QLD,4000,-27.472,153.025
Child Services,Child Protection Services,Clinical Services Team - Brisbane,Our department aims to enable vulnerable Queenslan,https://www.communities.qld.gov.au,(07) 3406 9000,270 Example Street,BRISBANE,QLD,4000,-27.472,153.025
Child Services,Child Protection Services,Department of Child Safety,provides a range of services to current clients of,https://www.communities.qld.gov.au/childsafety/about-us/contact-us,1800 811 810,271 Example Street,BRISBANE,QLD,4000,-27.472,153.025
Child Services,Child Protection Services,Forest Lake Child Safety Service Centre,Child safety service centres provide support and a,,(07) 3723 6100,272 Example Street,FOREST LAKE,QLD,4078,-27.626,152.969
Child Services,Child Protection Services,Fortitude Valley Child Safety Service Centre,Child safety service centres provide support and a,,(07) 3406 5222,273 Example Street,FORTITUDE VALLEY,QLD,4006,-27.453,153.034
Child Services,Child Protection Services,FOSTER CARE QUEENSLAND INC,"Foster Care Queensland provides support, advocacy ",http://www.fcq.com.au,(07) 3256 6166,274 Example Street,BANYO,QLD,4014,-27.383,153.077
Child Services,Child Protection Services,Inala Child Safety Service Centre,Child safety service centres provide support and a,,(07) 3710 1800,275 Example Street,INALA,QLD,4077,-27.601,152.974
Child Services,Child Protection Services,Kids National Helpline,Kids Helpline is a free 24 hour counselling servic,https://kidshelpline.com.au/kids/,1800 551 800,276 Example Street,,,,-27.469,153.025
Child Services,Child Protection Services,Kyabra Community Association Inc,Foster and Kinship Care and Residential care for y,http://www.kyabra.org,(07) 3373 9499,277 Example Street,RUNCORN,QLD,4113,-27.609,153.069
Child Services,Child Protection Services,Morningside Child Protection and Investigation Unit,The Brisbane Central District Child Protection & I,,(07) 3823 8672,278 Example Street,MORNINGSIDE,QLD,4170,-27.465,153.071
Child Services,Child Protection Services,Mount Gravatt Child Safety Service Centre,Child safety service centres provide support and a,,(07) 3434 1200,279 Example Street,UPPER MT GRAVATT,QLD,4122,-27.561,153.079
Child Services,Child Protection Services,Peakcare Queensland Inc,Policy and sector developmrnt,http://www.peakcare.org.au,(07) 3368 1050,280 Example Street,PADDINGTON,QLD,4064,-27.462,153.002
Child Services,Child Protection Services,Safe Places Community Services Limited - Woolloongabba,Safe Places is a specialist residential program th,,1300 993 483,281 Example Street,WOOLLOONGABBA,QLD,4102,-27.493,153.046
Child Services,Child Protection Services,Stones Corner Child Safety Service Centre,Child safety service centres provide support and a,,(07) 3324 5400,282 Example Street,STONES CORNER,QLD,4120,-27.497,153.043
Child Services,Child Protection Services,The Kurbingui Youth Development Limited (KYDAII),Welcome to Kurbingui The Kurbingui Youth Developme,http://www.kurbingui.org.au/,(07) 3865 1462,283 Example Street,ZILLMERE,QLD,4034,-27.359,153.037
Child Services,Child Protection Services,The North Brisbane  Child Protection & Investigation Unit Boondall,The Brisbane Central District Child Protection & I,,(07) 3364 3391,284 Example Street,BOONDALL,QLD,4034,-27.349,153.053
Child Services,Child Protection Services,The Pyjama Foundation - Banyo,The Pyjama Foundation is the quintessential Austra,http://www.thepyjamafoundation.com,(07) 3256 8802,285 Example Street,,QLD,4014,-27.374,153.091
Crisis & Emergency Services,Abuse & Assault Services,Allanah and Madeline Foundation,Every day Australian children witness or experienc,http://www.amf.org.au/,1300 720 747,286 Example Street,BRISBANE,QLD,4000,-27.467,153.027
Crisis & Emergency Services,Abuse & Assault Services,Centacare - Family and Relationship Services,"Children's Programs, Community Service Programs, F",http://www.centacarebrisbane.net.au,1300 236 822,287 Example Street,FORTITUDE VALLEY,QLD,4006,-27.457,153.038
Crisis & Emergency Services,Abuse & Assault Services,Child Safety Suspected Abuse,Child Safety Suspected Abuse,https://www.communities.qld.gov.au/childsafety/about-us/contact-us,1800 811 810,288 Example Street,BRISBANE,QLD,4000,-27.472,153.025
Crisis & Emergency Services,Abuse & Assault Services,DV Connect - Sexual Assault Helpline,We are here to offer telephone support and counsel,http://www.dvconnect.org,1800 010 120,289 Example Street,,,,-27.471,153.023
Crisis & Emergency Services,Abuse & Assault Services,DV Connect - Womensline,"Counselling, information, refuge and safety.",http://www.dvconnect.org,1800 811 811,290 Example Street,,,,-27.385,153.12
Crisis & Emergency Services,Abuse & Assault Services,Neighbourhood Watch - Brisbane,The national mission statement for Neighbourhood W,http://brisbane.nhwq.org/,(07) 3234 2111,291 Example Street,BRISBANE,QLD,4000,-27.468,153.018
Crisis & Emergency Services,Abuse & Assault Services,Sexual Assault Help Line,The Sexual Assault Help Line is a statewide teleph,,1800 010 120  24Hrs,292 Example Street,HERSTON,QLD,4006,-27.447,153.027
Crisis & Emergency Services,Abuse & Assault Services,The Kurbingui Youth Development Limited (KYDAII),Welcome to Kurbingui The Kurbingui Youth Developme,http://www.kurbingui.org.au/,(07) 3865 1462,293 Example Street,ZILLMERE,QLD,4034,-27.359,153.037
Crisis & Emergency Services,Crisis & Emergency Accommodation,"Pindari Services (Men's & Women's), The Salvation Army ","Immediate supported accommodation for adults.",http://www.salvos.org.au,(07) 3832 1491,294 Example Street,SPRING HILL,QLD,4000,-27.458,153.028
Crisis & Emergency Services,Crisis Counselling & Intervention Services,Australian Red Cross - Homestay program,The Homestay program is defined by the delivery of,http://www.redcross.org.au/homelessness.aspx,(07) 3863 0448,295 Example Street,,,,-27.472,153.004
Crisis & Emergency Services,Crisis Counselling & Intervention Services,Bayside Transformations,Residential recovery service-faith based takes men,,(07) 4194 6621,296 Example Street,BRISBANE,QLD,4000,-27.467,153.141
Crisis & Emergency Services,Crisis Counselling & Intervention Services,Career Keys,Our Participate in Prosperity program specialises ,http://careerkeys.com.au/home,(07) 3200 2700,297 Example Street,INALA,QLD,4077,-27.601,152.973
Crisis & Emergency Services,Crisis Counselling & Intervention Services,Centacare - Family and Relationship Services,"Children's Programs, Community Service Programs, F",http://www.centacarebrisbane.net.au,1300 236 822,298 Example Street,FORTITUDE VALLEY,QLD,4006,-27.457,153.038
Crisis & Emergency Services,Crisis Counselling & Intervention Services,Communities Respond - Mt Crosby,"Crisis Response, Counselling and C.I.S.M. plus tra",http://www.communitiesrespond.com.au,0414 928 641,299 Example Street,MT CROSBY,QLD,,-27.539,152.804
Crisis & Emergency Services,Crisis Counselling & Intervention Services,DV Connect - Mensline,DV Connect Men's Line provides telephone counselli,http://www.dvconnect.org,1800 600 636,300 Example Street,,,,-27.466,153.023
Crisis & Emergency Services,Crisis Counselling & Intervention Services,DV Connect - Womensline, Counselling ' Information ' Refuge ' Safety,http://www.dvconnect.org,1800 811 811,301 Example Street,,,,-27.385,153.12
Crisis & Emergency Services,Crisis Counselling & Intervention Services,Gambling Help - National Phone Service,Sometimes thinking about a gambling issue is hard.,http://www.gamblinghelponline.org.au,1800 858 858,302 Example Street,,,,-27.469,153.025
Crisis & Emergency Services,Crisis Counselling & Intervention Services,Kids National Helpline,Kids Helpline is a free 24 hour counselling servic,https://kidshelpline.com.au/kids/,1800 551 800,303 Example Street,,,,-27.469,153.025
Crisis & Emergency Services,Crisis Counselling & Intervention Services,Lifeline - National phone service,Lifeline connects people with care by providing cr,https://www.lifeline.org.au/get-help/get-help-home,13 11 14,304 Example Street,,,,-27.469,153.025
Crisis & Emergency Services,Crisis Counselling & Intervention Services,MATES in Construction,MATES in Construction is a charity established in ,http://www.matesinconstruction.org.au,(07) 3833 1140,305 Example Street,SPRING HILL,QLD,4000,-27.463,153.025
Crisis & Emergency Services,Crisis Counselling & Intervention Services,Pure Counselling,"Grief and Loss, Self harm, Anxiety. Personal Couns",http://www.purecounselling.com.au,0426 422 553,306 Example Street,FERNY GROVE,QLD,4055,-27.405,152.931
Crisis & Emergency Services,Crisis Counselling & Intervention Services,Queensland Homicide Victims Support Group,We provide services in the Toowoomba Regional Coun,,1800 774 744,307 Example Street,LUTWYCHE,QLD,4030,-27.422,153.033
Crisis & Emergency Services,Crisis Counselling & Intervention Services,Queensland Injectors Health Network - Bowen Hills (Mudmaps),Get back on track for the week with this Monday mo,http://www.quihn.org,(07) 3620 8111,308 Example Street,BOWEN HILLS,QLD,4006,-27.448,153.035
Crisis & Emergency Services,Crisis Counselling & Intervention Services,Queensland Injectors Health Network - Bowen Hills (Significant Other Support (SOS) Workshop),"This is a six hour workshop, normally held on Satu",http://www.quihn.org,(07) 3620 8111,309 Example Street,BOWEN HILLS,QLD,4006,-27.448,153.035
Crisis & Emergency Services,Crisis Counselling & Intervention Services,Suicidology Australia,Suicide counselling. Suicidology workshops.,http://www.suicidology.com.au,0426 422 553,310 Example Street,FERNY GROVE,QLD,4055,-27.405,152.93
Crisis & Emergency Services,Crisis Counselling & Intervention Services,UnitingCare Community - Brisbane,UnitingCare Community - Brisbane,http://www.uccommunity.org.au/,(07) 3253 4000,311 Example Street,BRISBANE,QLD,4000,-27.466,153.024
Crisis & Emergency Services,General Crisis and Emergency Services,139 Club - New Farm,This service is for individuals and families exper,http://www.139club.com.au,(07) 3254 1144,312 Example Street,NEW FARM,QLD,4005,-27.461,153.038
Crisis & Emergency Services,General Crisis and Emergency Services,Aftercare - Moorooka,We are now the longest-serving organisation of its,http://www.aftercare.com.au,(07) 3249 3800,313 Example Street,MOOROOKA,QLD,4105,-27.542,153.02
Crisis & Emergency Services,General Crisis and Emergency Services,Anglicare Southern Queensland,Anglicare Southern Queensland is a proud member of,http://www.anglicaresq.org.au,1300 610 610,314 Example Street,BRISBANE,QLD,4000,-27.463,153.03
Crisis & Emergency Services,General Crisis and Emergency Services,Aust. Biocleaning  - Trauma & Biohazard Cleaning Services,Aust biocleaning are a 24hr service. We are a disc,http://www.austbiocleaning.vpweb.com.au,0404 368 277,315 Example Street,,,,-27.467,153.025
Crisis & Emergency Services,General Crisis and Emergency Services,Brisbane Youth Service - Centre for Young Families ,Crisis support for young families,http://www.brisyouth.org/what-we-do/centre-for-young-families/,(07) 3620 2400,316 Example Street,GREENSLOPES,QLD,4120,-27.501,153.044
Crisis & Emergency Services,General Crisis and Emergency Services,Brisbane Youth Service - Centre for Young Women Stones Corner,Crisis and emergency services for young women,http://www.brisyouth.org,(07) 3620 2452,317 Example Street,GREENSLOPES,QLD,4120,-27.501,153.044
